iter	Passed	Remaining
0	51	51421
1	55	27721
2	60	20027
3	64	16079
4	68	13620
5	72	12038
6	77	10951
7	82	10273
8	87	9682
9	94	9314
10	98	8897
11	103	8548
12	110	8351
13	116	8213
14	121	8008
15	131	8083
16	135	7861
17	142	7788
18	149	7736
19	155	7608
20	160	7490
21	168	7486
22	176	7478
23	181	7392
24	189	7373
25	196	7369
26	201	7249
27	208	7231
28	214	7170
29	219	7096
30	226	7072
31	231	7002
32	235	6904
33	241	6860
34	248	6838
35	255	6855
36	260	6784
37	265	6726
38	271	6683
39	283	6801
40	288	6738
41	292	6665
42	297	6614
43	303	6590
44	308	6549
45	313	6496
46	319	6488
47	325	6459
48	330	6409
49	336	6397
50	343	6395
51	352	6419
52	357	6387
53	362	6352
54	368	6331
55	378	6383
56	386	6391
57	390	6348
58	395	6307
59	402	6311
60	407	6273
61	413	6252
62	418	6225
63	424	6206
64	430	6185
65	434	6153
66	439	6123
67	445	6112
68	451	6085
69	456	6058
70	462	6048
71	469	6056
72	478	6081
73	483	6050
74	488	6027
75	494	6010
76	500	5994
77	505	5974
78	511	5959
79	516	5936
80	520	5909
81	527	5901
82	533	5898
83	539	5882
84	544	5859
85	549	5840
86	554	5814
87	559	5795
88	564	5782
89	569	5759
90	574	5735
91	579	5718
92	586	5716
93	593	5717
94	597	5696
95	603	5680
96	609	5676
97	617	5681
98	622	5664
99	631	5680
100	636	5661
101	641	5648
102	647	5635
103	652	5618
104	659	5622
105	666	5620
106	672	5613
107	677	5594
108	682	5575
109	687	5564
110	694	5563
111	701	5562
112	707	5551
113	713	5546
114	721	5555
115	727	5541
116	733	5532
117	741	5540
118	747	5536
119	755	5539
120	760	5525
121	766	5513
122	770	5491
123	775	5476
124	780	5460
125	784	5443
126	793	5451
127	798	5441
128	802	5421
129	808	5410
130	814	5405
131	819	5389
132	826	5385
133	833	5389
134	838	5374
135	845	5372
136	853	5375
137	862	5389
138	871	5397
139	876	5383
140	885	5396
141	894	5407
142	901	5402
143	907	5392
144	915	5400
145	923	5400
146	929	5393
147	935	5384
148	941	5377
149	948	5377
150	958	5389
151	964	5380
152	969	5368
153	974	5353
154	980	5347
155	986	5339
156	992	5328
157	997	5316
158	1002	5302
159	1007	5288
160	1012	5278
161	1018	5270
162	1025	5264
163	1030	5254
164	1035	5240
165	1042	5237
166	1047	5225
167	1053	5219
168	1058	5205
169	1064	5197
170	1068	5182
171	1074	5171
172	1080	5166
173	1087	5161
174	1091	5147
175	1097	5136
176	1107	5147
177	1113	5140
178	1121	5146
179	1137	5179
180	1149	5202
181	1178	5298
182	1184	5289
183	1189	5277
184	1197	5276
185	1205	5274
186	1211	5268
