depth,metric,train_error,test_error
1,infogain,0.2403,0.242
1,gini,0.2403,0.242
1,majerr,0.2054,0.2016
2,infogain,0.17335,0.1694
2,gini,0.1717,0.1706
2,majerr,0.1894,0.1896
3,infogain,0.1594,0.1616
3,gini,0.15605,0.1606
3,majerr,0.1748,0.1744
4,infogain,0.1389,0.1638
4,gini,0.1334,0.1606
4,majerr,0.14855,0.1532
5,infogain,0.11695,0.17
5,gini,0.11315,0.1652
5,majerr,0.13355,0.155
6,infogain,0.0958,0.1732
6,gini,0.0898,0.1748
6,majerr,0.1197,0.1572
7,infogain,0.0763,0.1774
7,gini,0.0711,0.179
7,majerr,0.10185,0.1612
8,infogain,0.0593,0.1846
8,gini,0.0566,0.1888
8,majerr,0.0867,0.1666
9,infogain,0.04715,0.1892
9,gini,0.04485,0.1922
9,majerr,0.0729,0.1694
10,infogain,0.04055,0.1914
10,gini,0.04015,0.1942
10,majerr,0.06005,0.173
11,infogain,0.0389,0.192
11,gini,0.03885,0.1952
11,majerr,0.05125,0.1782
12,infogain,0.03875,0.1922
12,gini,0.03875,0.1954
12,majerr,0.0454,0.1812
13,infogain,0.03875,0.1922
13,gini,0.03875,0.1954
13,majerr,0.04085,0.1826
14,infogain,0.03875,0.1922
14,gini,0.03875,0.1954
14,majerr,0.03875,0.1848
